"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jun 23 00:54:46 GMT 2024","Sun Jun 23 00:54:46 GMT 2024","176","tests","accesability_test","TestAccessibility","","","Test Accessibility with Default Counts",""
"passed","Sun Jun 23 00:54:48 GMT 2024","Sun Jun 23 00:54:48 GMT 2024","186","tests","checkout_test","TestCheckout","","","test_checkout_counter[chromium-User.STANDARD_USER]",""
"passed","Sun Jun 23 00:54:48 GMT 2024","Sun Jun 23 00:54:48 GMT 2024","61","tests","inventory_test","TestInventory","","","test_inventory_page[chromium-User.STANDARD_USER]",""
"passed","Sun Jun 23 00:54:49 GMT 2024","Sun Jun 23 00:54:49 GMT 2024","158","tests","login_test","TestLogin","","","Login with invalid credentials test",""
"passed","Sun Jun 23 00:54:47 GMT 2024","Sun Jun 23 00:54:47 GMT 2024","153","tests","accesability_test","TestAccessibility","","","Test Accessibility with Custom Counts",""
"passed","Sun Jun 23 00:54:49 GMT 2024","Sun Jun 23 00:54:49 GMT 2024","141","tests","login_test","TestLogin","","","Login with invalid credentials test",""
