"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","66","test_inventory_page[chromium-standard_user]","tests","Wed Jun 18 01:43:53 GMT 2025","passed","Wed Jun 18 01:43:53 GMT 2025","TestInventory","inventory_test","",""
"","156","Login with invalid credentials test","tests","Wed Jun 18 01:43:53 GMT 2025","passed","Wed Jun 18 01:43:53 GMT 2025","TestLogin","login_test","",""
"","204","test_checkout_counter[chromium-standard_user]","tests","Wed Jun 18 01:43:58 GMT 2025","passed","Wed Jun 18 01:43:58 GMT 2025","TestCheckout","checkout_test","",""
"","174","Test Accessibility with Default Counts","tests","Wed Jun 18 01:43:57 GMT 2025","failed","Wed Jun 18 01:43:57 GMT 2025","TestAccessibility","accesability_test","",""
"","165","Test Accessibility with Custom Counts","tests","Wed Jun 18 01:43:58 GMT 2025","passed","Wed Jun 18 01:43:58 GMT 2025","TestAccessibility","accesability_test","",""
"","159","Login with invalid credentials test","tests","Wed Jun 18 01:43:54 GMT 2025","passed","Wed Jun 18 01:43:54 GMT 2025","TestLogin","login_test","",""
