"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 09 00:53:44 GMT 2024","Tue Jul 09 00:53:44 GMT 2024","158","tests","accesability_test","TestAccessibility","","","Test Accessibility with Custom Counts",""
"passed","Tue Jul 09 00:53:45 GMT 2024","Tue Jul 09 00:53:45 GMT 2024","182","tests","checkout_test","TestCheckout","","","test_checkout_counter[chromium-User.STANDARD_USER]",""
"failed","Tue Jul 09 00:53:43 GMT 2024","Tue Jul 09 00:53:43 GMT 2024","375","tests","accesability_test","TestAccessibility","","","Test Accessibility with Default Counts",""
"passed","Tue Jul 09 00:53:46 GMT 2024","Tue Jul 09 00:53:46 GMT 2024","292","tests","login_test","TestLogin","","","Login with invalid credentials test",""
"passed","Tue Jul 09 00:53:46 GMT 2024","Tue Jul 09 00:53:46 GMT 2024","153","tests","login_test","TestLogin","","","Login with invalid credentials test",""
"passed","Tue Jul 09 00:53:45 GMT 2024","Tue Jul 09 00:53:45 GMT 2024","66","tests","inventory_test","TestInventory","","","test_inventory_page[chromium-User.STANDARD_USER]",""
