"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","195","test_checkout_counter[chromium-standard_user]","tests","Thu May 08 01:40:51 GMT 2025","passed","Thu May 08 01:40:51 GMT 2025","TestCheckout","checkout_test","",""
"","66","test_inventory_page[chromium-standard_user]","tests","Thu May 08 01:40:49 GMT 2025","passed","Thu May 08 01:40:49 GMT 2025","TestInventory","inventory_test","",""
"","166","Test Accessibility with Default Counts","tests","Thu May 08 01:40:50 GMT 2025","failed","Thu May 08 01:40:50 GMT 2025","TestAccessibility","accesability_test","",""
"","167","Login with invalid credentials test","tests","Thu May 08 01:40:49 GMT 2025","passed","Thu May 08 01:40:49 GMT 2025","TestLogin","login_test","",""
"","154","Login with invalid credentials test","tests","Thu May 08 01:40:50 GMT 2025","passed","Thu May 08 01:40:50 GMT 2025","TestLogin","login_test","",""
"","167","Test Accessibility with Custom Counts","tests","Thu May 08 01:40:51 GMT 2025","passed","Thu May 08 01:40:51 GMT 2025","TestAccessibility","accesability_test","",""
