"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","358","Test Accessibility with Custom Counts","tests","Fri Dec 12 01:47:12 UTC 2025","passed","Fri Dec 12 01:47:12 UTC 2025","TestAccessibility","accesability_test","",""
"","137","Login with invalid credentials test","tests","Fri Dec 12 01:47:08 UTC 2025","passed","Fri Dec 12 01:47:08 UTC 2025","TestLogin","login_test","",""
"","142","Login with invalid credentials test","tests","Fri Dec 12 01:47:08 UTC 2025","passed","Fri Dec 12 01:47:09 UTC 2025","TestLogin","login_test","",""
"","335","Test Accessibility with Default Counts","tests","Fri Dec 12 01:47:11 UTC 2025","failed","Fri Dec 12 01:47:11 UTC 2025","TestAccessibility","accesability_test","",""
"","58","test_inventory_page[chromium-standard_user]","tests","Fri Dec 12 01:47:07 UTC 2025","passed","Fri Dec 12 01:47:08 UTC 2025","TestInventory","inventory_test","",""
"","180","test_checkout_counter[chromium-standard_user]","tests","Fri Dec 12 01:47:13 UTC 2025","passed","Fri Dec 12 01:47:13 UTC 2025","TestCheckout","checkout_test","",""
