"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","252","Test Accessibility with Custom Counts","tests","Tue Nov 11 01:42:10 UTC 2025","passed","Tue Nov 11 01:42:10 UTC 2025","TestAccessibility","accesability_test","",""
"","209","test_checkout_counter[chromium-standard_user]","tests","Tue Nov 11 01:42:11 UTC 2025","passed","Tue Nov 11 01:42:11 UTC 2025","TestCheckout","checkout_test","",""
"","35","test_inventory_page[chromium-standard_user]","tests","Tue Nov 11 01:42:06 UTC 2025","passed","Tue Nov 11 01:42:06 UTC 2025","TestInventory","inventory_test","",""
"","130","Login with invalid credentials test","tests","Tue Nov 11 01:42:07 UTC 2025","passed","Tue Nov 11 01:42:07 UTC 2025","TestLogin","login_test","",""
"","254","Test Accessibility with Default Counts","tests","Tue Nov 11 01:42:09 UTC 2025","failed","Tue Nov 11 01:42:10 UTC 2025","TestAccessibility","accesability_test","",""
"","118","Login with invalid credentials test","tests","Tue Nov 11 01:42:07 UTC 2025","passed","Tue Nov 11 01:42:07 UTC 2025","TestLogin","login_test","",""
