"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","361","Login with invalid credentials test","tests","Fri Mar 28 01:27:23 GMT 2025","passed","Fri Mar 28 01:27:23 GMT 2025","TestLogin","login_test","",""
"","273","Login with invalid credentials test","tests","Fri Mar 28 01:27:22 GMT 2025","passed","Fri Mar 28 01:27:22 GMT 2025","TestLogin","login_test","",""
"","40","test_inventory_page[chromium-standard_user]","tests","Fri Mar 28 01:27:22 GMT 2025","passed","Fri Mar 28 01:27:22 GMT 2025","TestInventory","inventory_test","",""
"","164","Test Accessibility with Default Counts","tests","Fri Mar 28 01:27:08 GMT 2025","failed","Fri Mar 28 01:27:08 GMT 2025","TestAccessibility","accesability_test","",""
"","152","Test Accessibility with Custom Counts","tests","Fri Mar 28 01:27:09 GMT 2025","passed","Fri Mar 28 01:27:09 GMT 2025","TestAccessibility","accesability_test","",""
"","218","test_checkout_counter[chromium-standard_user]","tests","Fri Mar 28 01:27:10 GMT 2025","passed","Fri Mar 28 01:27:10 GMT 2025","TestCheckout","checkout_test","",""
