"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","269","Test Accessibility with Custom Counts","tests","Wed Jan 14 01:55:23 UTC 2026","passed","Wed Jan 14 01:55:23 UTC 2026","TestAccessibility","accesability_test","",""
"","144","Login with invalid credentials test","tests","Wed Jan 14 01:55:22 UTC 2026","passed","Wed Jan 14 01:55:22 UTC 2026","TestLogin","login_test","",""
"","145","Login with invalid credentials test","tests","Wed Jan 14 01:55:22 UTC 2026","passed","Wed Jan 14 01:55:22 UTC 2026","TestLogin","login_test","",""
"","178","test_checkout_counter[chromium-standard_user]","tests","Wed Jan 14 01:55:24 UTC 2026","passed","Wed Jan 14 01:55:24 UTC 2026","TestCheckout","checkout_test","",""
"","265","Test Accessibility with Default Counts","tests","Wed Jan 14 01:55:22 UTC 2026","failed","Wed Jan 14 01:55:22 UTC 2026","TestAccessibility","accesability_test","",""
"","55","test_inventory_page[chromium-standard_user]","tests","Wed Jan 14 01:55:21 UTC 2026","passed","Wed Jan 14 01:55:21 UTC 2026","TestInventory","inventory_test","",""
