"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","49","test_inventory_page[chromium-standard_user]","tests","Sun Nov 30 01:52:17 UTC 2025","passed","Sun Nov 30 01:52:17 UTC 2025","TestInventory","inventory_test","",""
"","255","Test Accessibility with Custom Counts","tests","Sun Nov 30 01:52:18 UTC 2025","passed","Sun Nov 30 01:52:19 UTC 2025","TestAccessibility","accesability_test","",""
"","134","Login with invalid credentials test","tests","Sun Nov 30 01:52:18 UTC 2025","passed","Sun Nov 30 01:52:18 UTC 2025","TestLogin","login_test","",""
"","189","test_checkout_counter[chromium-standard_user]","tests","Sun Nov 30 01:52:19 UTC 2025","passed","Sun Nov 30 01:52:19 UTC 2025","TestCheckout","checkout_test","",""
"","140","Login with invalid credentials test","tests","Sun Nov 30 01:52:18 UTC 2025","passed","Sun Nov 30 01:52:18 UTC 2025","TestLogin","login_test","",""
"","259","Test Accessibility with Default Counts","tests","Sun Nov 30 01:52:17 UTC 2025","failed","Sun Nov 30 01:52:18 UTC 2025","TestAccessibility","accesability_test","",""
