"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","168","Test Accessibility with Custom Counts","tests","Wed Jun 25 01:45:54 GMT 2025","passed","Wed Jun 25 01:45:54 GMT 2025","TestAccessibility","accesability_test","",""
"","186","test_checkout_counter[chromium-standard_user]","tests","Wed Jun 25 01:45:54 GMT 2025","passed","Wed Jun 25 01:45:54 GMT 2025","TestCheckout","checkout_test","",""
"","172","Test Accessibility with Default Counts","tests","Wed Jun 25 01:45:53 GMT 2025","failed","Wed Jun 25 01:45:53 GMT 2025","TestAccessibility","accesability_test","",""
"","46","test_inventory_page[chromium-standard_user]","tests","Wed Jun 25 01:45:52 GMT 2025","passed","Wed Jun 25 01:45:52 GMT 2025","TestInventory","inventory_test","",""
"","156","Login with invalid credentials test","tests","Wed Jun 25 01:45:52 GMT 2025","passed","Wed Jun 25 01:45:53 GMT 2025","TestLogin","login_test","",""
"","157","Login with invalid credentials test","tests","Wed Jun 25 01:45:53 GMT 2025","passed","Wed Jun 25 01:45:53 GMT 2025","TestLogin","login_test","",""
