"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 06 01:12:28 GMT 2024","Tue Aug 06 01:12:28 GMT 2024","48","tests","inventory_test","TestInventory","","","test_inventory_page[chromium-User.STANDARD_USER]",""
"failed","Tue Aug 06 01:13:29 GMT 2024","Tue Aug 06 01:13:29 GMT 2024","302","tests","accesability_test","TestAccessibility","","","Test Accessibility with Default Counts",""
"passed","Tue Aug 06 01:13:30 GMT 2024","Tue Aug 06 01:13:30 GMT 2024","161","tests","accesability_test","TestAccessibility","","","Test Accessibility with Custom Counts",""
"passed","Tue Aug 06 01:13:31 GMT 2024","Tue Aug 06 01:13:31 GMT 2024","194","tests","checkout_test","TestCheckout","","","test_checkout_counter[chromium-User.STANDARD_USER]",""
"passed","Tue Aug 06 01:12:28 GMT 2024","Tue Aug 06 01:12:29 GMT 2024","148","tests","login_test","TestLogin","","","Login with invalid credentials test",""
"passed","Tue Aug 06 01:12:29 GMT 2024","Tue Aug 06 01:12:29 GMT 2024","146","tests","login_test","TestLogin","","","Login with invalid credentials test",""
