"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","267","Test Accessibility with Default Counts","tests","Tue Nov 25 01:42:28 UTC 2025","failed","Tue Nov 25 01:42:28 UTC 2025","TestAccessibility","accesability_test","",""
"","136","Login with invalid credentials test","tests","Tue Nov 25 01:42:28 UTC 2025","passed","Tue Nov 25 01:42:29 UTC 2025","TestLogin","login_test","",""
"","161","Login with invalid credentials test","tests","Tue Nov 25 01:42:28 UTC 2025","passed","Tue Nov 25 01:42:28 UTC 2025","TestLogin","login_test","",""
"","251","Test Accessibility with Custom Counts","tests","Tue Nov 25 01:42:29 UTC 2025","passed","Tue Nov 25 01:42:29 UTC 2025","TestAccessibility","accesability_test","",""
"","52","test_inventory_page[chromium-standard_user]","tests","Tue Nov 25 01:42:27 UTC 2025","passed","Tue Nov 25 01:42:27 UTC 2025","TestInventory","inventory_test","",""
"","184","test_checkout_counter[chromium-standard_user]","tests","Tue Nov 25 01:42:29 UTC 2025","passed","Tue Nov 25 01:42:30 UTC 2025","TestCheckout","checkout_test","",""
