"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","162","Login with invalid credentials test","tests","Tue Aug 26 01:39:52 GMT 2025","passed","Tue Aug 26 01:39:52 GMT 2025","TestLogin","login_test","",""
"","62","test_inventory_page[chromium-standard_user]","tests","Tue Aug 26 01:39:51 GMT 2025","passed","Tue Aug 26 01:39:51 GMT 2025","TestInventory","inventory_test","",""
"","136","Login with invalid credentials test","tests","Tue Aug 26 01:39:52 GMT 2025","passed","Tue Aug 26 01:39:52 GMT 2025","TestLogin","login_test","",""
"","267","Test Accessibility with Custom Counts","tests","Tue Aug 26 01:39:51 GMT 2025","passed","Tue Aug 26 01:39:51 GMT 2025","TestAccessibility","accesability_test","",""
"","265","Test Accessibility with Default Counts","tests","Tue Aug 26 01:39:50 GMT 2025","failed","Tue Aug 26 01:39:50 GMT 2025","TestAccessibility","accesability_test","",""
"","181","test_checkout_counter[chromium-standard_user]","tests","Tue Aug 26 01:39:52 GMT 2025","passed","Tue Aug 26 01:39:52 GMT 2025","TestCheckout","checkout_test","",""
