"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","180","Login with invalid credentials test","tests","Sun Oct 26 01:42:43 UTC 2025","passed","Sun Oct 26 01:42:43 UTC 2025","TestLogin","login_test","",""
"","191","test_checkout_counter[chromium-standard_user]","tests","Sun Oct 26 01:42:43 UTC 2025","passed","Sun Oct 26 01:42:43 UTC 2025","TestCheckout","checkout_test","",""
"","269","Test Accessibility with Default Counts","tests","Sun Oct 26 01:42:41 UTC 2025","failed","Sun Oct 26 01:42:41 UTC 2025","TestAccessibility","accesability_test","",""
"","262","Test Accessibility with Custom Counts","tests","Sun Oct 26 01:42:42 UTC 2025","passed","Sun Oct 26 01:42:42 UTC 2025","TestAccessibility","accesability_test","",""
"","147","Login with invalid credentials test","tests","Sun Oct 26 01:42:44 UTC 2025","passed","Sun Oct 26 01:42:44 UTC 2025","TestLogin","login_test","",""
"","43","test_inventory_page[chromium-standard_user]","tests","Sun Oct 26 01:42:43 UTC 2025","passed","Sun Oct 26 01:42:43 UTC 2025","TestInventory","inventory_test","",""
