"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","208","test_checkout_counter[chromium-standard_user]","tests","Sat May 03 01:36:37 GMT 2025","passed","Sat May 03 01:36:37 GMT 2025","TestCheckout","checkout_test","",""
"","164","Test Accessibility with Custom Counts","tests","Sat May 03 01:36:36 GMT 2025","passed","Sat May 03 01:36:36 GMT 2025","TestAccessibility","accesability_test","",""
"","136","Login with invalid credentials test","tests","Sat May 03 01:36:34 GMT 2025","passed","Sat May 03 01:36:35 GMT 2025","TestLogin","login_test","",""
"","156","Login with invalid credentials test","tests","Sat May 03 01:36:35 GMT 2025","passed","Sat May 03 01:36:35 GMT 2025","TestLogin","login_test","",""
"","162","Test Accessibility with Default Counts","tests","Sat May 03 01:36:35 GMT 2025","failed","Sat May 03 01:36:36 GMT 2025","TestAccessibility","accesability_test","",""
"","63","test_inventory_page[chromium-standard_user]","tests","Sat May 03 01:36:34 GMT 2025","passed","Sat May 03 01:36:34 GMT 2025","TestInventory","inventory_test","",""
