"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","158","Test Accessibility with Custom Counts","tests","Thu Dec 05 01:28:39 GMT 2024","passed","Thu Dec 05 01:28:40 GMT 2024","TestAccessibility","accesability_test","",""
"","222","Login with invalid credentials test","tests","Thu Dec 05 01:29:20 GMT 2024","passed","Thu Dec 05 01:29:20 GMT 2024","TestLogin","login_test","",""
"","31","test_inventory_page[chromium-standard_user]","tests","Thu Dec 05 01:29:19 GMT 2024","passed","Thu Dec 05 01:29:19 GMT 2024","TestInventory","inventory_test","",""
"","170","Login with invalid credentials test","tests","Thu Dec 05 01:29:20 GMT 2024","passed","Thu Dec 05 01:29:20 GMT 2024","TestLogin","login_test","",""
"","176","Test Accessibility with Default Counts","tests","Thu Dec 05 01:28:39 GMT 2024","failed","Thu Dec 05 01:28:39 GMT 2024","TestAccessibility","accesability_test","",""
"","455","test_checkout_counter[chromium-standard_user]","tests","Thu Dec 05 01:28:41 GMT 2024","passed","Thu Dec 05 01:28:42 GMT 2024","TestCheckout","checkout_test","",""
