"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","206","test_checkout_counter[chromium-standard_user]","tests","Tue Sep 09 01:27:42 UTC 2025","passed","Tue Sep 09 01:27:43 UTC 2025","TestCheckout","checkout_test","",""
"","151","Login with invalid credentials test","tests","Tue Sep 09 01:27:40 UTC 2025","passed","Tue Sep 09 01:27:40 UTC 2025","TestLogin","login_test","",""
"","165","Login with invalid credentials test","tests","Tue Sep 09 01:27:41 UTC 2025","passed","Tue Sep 09 01:27:41 UTC 2025","TestLogin","login_test","",""
"","322","Test Accessibility with Default Counts","tests","Tue Sep 09 01:27:41 UTC 2025","failed","Tue Sep 09 01:27:41 UTC 2025","TestAccessibility","accesability_test","",""
"","275","Test Accessibility with Custom Counts","tests","Tue Sep 09 01:27:42 UTC 2025","passed","Tue Sep 09 01:27:42 UTC 2025","TestAccessibility","accesability_test","",""
"","53","test_inventory_page[chromium-standard_user]","tests","Tue Sep 09 01:27:40 UTC 2025","passed","Tue Sep 09 01:27:40 UTC 2025","TestInventory","inventory_test","",""
