"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","357","Test Accessibility with Custom Counts","tests","Fri Oct 10 01:27:03 UTC 2025","passed","Fri Oct 10 01:27:03 UTC 2025","TestAccessibility","accesability_test","",""
"","31","test_inventory_page[chromium-standard_user]","tests","Fri Oct 10 01:27:06 UTC 2025","passed","Fri Oct 10 01:27:06 UTC 2025","TestInventory","inventory_test","",""
"","149","Login with invalid credentials test","tests","Fri Oct 10 01:27:07 UTC 2025","passed","Fri Oct 10 01:27:07 UTC 2025","TestLogin","login_test","",""
"","147","Login with invalid credentials test","tests","Fri Oct 10 01:27:06 UTC 2025","passed","Fri Oct 10 01:27:06 UTC 2025","TestLogin","login_test","",""
"","227","test_checkout_counter[chromium-standard_user]","tests","Fri Oct 10 01:27:04 UTC 2025","passed","Fri Oct 10 01:27:04 UTC 2025","TestCheckout","checkout_test","",""
"","323","Test Accessibility with Default Counts","tests","Fri Oct 10 01:27:02 UTC 2025","failed","Fri Oct 10 01:27:03 UTC 2025","TestAccessibility","accesability_test","",""
