"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 01 21:15:00 GMT 2024","Thu Aug 01 21:15:01 GMT 2024","166","tests","accesability_test","TestAccessibility","","","Test Accessibility with Default Counts",""
"passed","Thu Aug 01 21:14:45 GMT 2024","Thu Aug 01 21:14:45 GMT 2024","146","tests","login_test","TestLogin","","","Login with invalid credentials test",""
"passed","Thu Aug 01 21:14:44 GMT 2024","Thu Aug 01 21:14:44 GMT 2024","50","tests","inventory_test","TestInventory","","","test_inventory_page[chromium-User.STANDARD_USER]",""
"passed","Thu Aug 01 21:15:02 GMT 2024","Thu Aug 01 21:15:02 GMT 2024","191","tests","checkout_test","TestCheckout","","","test_checkout_counter[chromium-User.STANDARD_USER]",""
"passed","Thu Aug 01 21:15:01 GMT 2024","Thu Aug 01 21:15:01 GMT 2024","150","tests","accesability_test","TestAccessibility","","","Test Accessibility with Custom Counts",""
"passed","Thu Aug 01 21:14:44 GMT 2024","Thu Aug 01 21:14:44 GMT 2024","151","tests","login_test","TestLogin","","","Login with invalid credentials test",""
