"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","368","Test Accessibility with Custom Counts","tests","Mon Oct 27 01:46:23 UTC 2025","passed","Mon Oct 27 01:46:24 UTC 2025","TestAccessibility","accesability_test","",""
"","153","Login with invalid credentials test","tests","Mon Oct 27 01:46:25 UTC 2025","passed","Mon Oct 27 01:46:25 UTC 2025","TestLogin","login_test","",""
"","354","Test Accessibility with Default Counts","tests","Mon Oct 27 01:46:22 UTC 2025","failed","Mon Oct 27 01:46:23 UTC 2025","TestAccessibility","accesability_test","",""
"","184","test_checkout_counter[chromium-standard_user]","tests","Mon Oct 27 01:46:24 UTC 2025","passed","Mon Oct 27 01:46:24 UTC 2025","TestCheckout","checkout_test","",""
"","66","test_inventory_page[chromium-standard_user]","tests","Mon Oct 27 01:46:24 UTC 2025","passed","Mon Oct 27 01:46:24 UTC 2025","TestInventory","inventory_test","",""
"","150","Login with invalid credentials test","tests","Mon Oct 27 01:46:24 UTC 2025","passed","Mon Oct 27 01:46:24 UTC 2025","TestLogin","login_test","",""
