"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","215","test_checkout_counter[chromium-standard_user]","tests","Wed Aug 27 01:36:46 GMT 2025","passed","Wed Aug 27 01:36:46 GMT 2025","TestCheckout","checkout_test","",""
"","62","test_inventory_page[chromium-standard_user]","tests","Wed Aug 27 01:36:47 GMT 2025","passed","Wed Aug 27 01:36:47 GMT 2025","TestInventory","inventory_test","",""
"","265","Test Accessibility with Custom Counts","tests","Wed Aug 27 01:36:45 GMT 2025","passed","Wed Aug 27 01:36:45 GMT 2025","TestAccessibility","accesability_test","",""
"","273","Test Accessibility with Default Counts","tests","Wed Aug 27 01:36:44 GMT 2025","failed","Wed Aug 27 01:36:45 GMT 2025","TestAccessibility","accesability_test","",""
"","149","Login with invalid credentials test","tests","Wed Aug 27 01:36:47 GMT 2025","passed","Wed Aug 27 01:36:48 GMT 2025","TestLogin","login_test","",""
"","165","Login with invalid credentials test","tests","Wed Aug 27 01:36:47 GMT 2025","passed","Wed Aug 27 01:36:47 GMT 2025","TestLogin","login_test","",""
