"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 22 00:55:36 GMT 2024","Mon Jul 22 00:55:36 GMT 2024","250","tests","login_test","TestLogin","","","Login with invalid credentials test",""
"passed","Mon Jul 22 00:55:35 GMT 2024","Mon Jul 22 00:55:35 GMT 2024","37","tests","inventory_test","TestInventory","","","test_inventory_page[chromium-User.STANDARD_USER]",""
"failed","Mon Jul 22 00:55:33 GMT 2024","Mon Jul 22 00:55:33 GMT 2024","218","tests","accesability_test","TestAccessibility","","","Test Accessibility with Default Counts",""
"passed","Mon Jul 22 00:55:34 GMT 2024","Mon Jul 22 00:55:34 GMT 2024","149","tests","accesability_test","TestAccessibility","","","Test Accessibility with Custom Counts",""
"passed","Mon Jul 22 00:55:35 GMT 2024","Mon Jul 22 00:55:35 GMT 2024","190","tests","checkout_test","TestCheckout","","","test_checkout_counter[chromium-User.STANDARD_USER]",""
"passed","Mon Jul 22 00:55:36 GMT 2024","Mon Jul 22 00:55:36 GMT 2024","169","tests","login_test","TestLogin","","","Login with invalid credentials test",""
