"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","142","Login with invalid credentials test","tests","Fri Apr 18 01:27:57 GMT 2025","passed","Fri Apr 18 01:27:57 GMT 2025","TestLogin","login_test","",""
"","62","test_inventory_page[chromium-standard_user]","tests","Fri Apr 18 01:27:56 GMT 2025","passed","Fri Apr 18 01:27:56 GMT 2025","TestInventory","inventory_test","",""
"","169","test_checkout_counter[chromium-standard_user]","tests","Fri Apr 18 01:27:58 GMT 2025","passed","Fri Apr 18 01:27:58 GMT 2025","TestCheckout","checkout_test","",""
"","161","Login with invalid credentials test","tests","Fri Apr 18 01:27:56 GMT 2025","passed","Fri Apr 18 01:27:56 GMT 2025","TestLogin","login_test","",""
"","173","Test Accessibility with Default Counts","tests","Fri Apr 18 01:27:56 GMT 2025","failed","Fri Apr 18 01:27:57 GMT 2025","TestAccessibility","accesability_test","",""
"","168","Test Accessibility with Custom Counts","tests","Fri Apr 18 01:27:57 GMT 2025","passed","Fri Apr 18 01:27:57 GMT 2025","TestAccessibility","accesability_test","",""
