"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","207","test_checkout_counter[chromium-standard_user]","tests","Mon Jan 06 01:25:08 GMT 2025","passed","Mon Jan 06 01:25:08 GMT 2025","TestCheckout","checkout_test","",""
"","102","test_inventory_page[chromium-standard_user]","tests","Mon Jan 06 01:25:32 GMT 2025","passed","Mon Jan 06 01:25:32 GMT 2025","TestInventory","inventory_test","",""
"","122","Test Accessibility with Custom Counts","tests","Mon Jan 06 01:25:07 GMT 2025","passed","Mon Jan 06 01:25:07 GMT 2025","TestAccessibility","accesability_test","",""
"","155","Login with invalid credentials test","tests","Mon Jan 06 01:25:34 GMT 2025","passed","Mon Jan 06 01:25:34 GMT 2025","TestLogin","login_test","",""
"","161","Test Accessibility with Default Counts","tests","Mon Jan 06 01:25:07 GMT 2025","failed","Mon Jan 06 01:25:07 GMT 2025","TestAccessibility","accesability_test","",""
"","332","Login with invalid credentials test","tests","Mon Jan 06 01:25:33 GMT 2025","passed","Mon Jan 06 01:25:34 GMT 2025","TestLogin","login_test","",""
