"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 13 00:44:58 GMT 2024","Wed Mar 13 00:44:59 GMT 2024","234","tests","login_test","TestLogin","","","test_login_error[chromium-invalid_password]",""
"passed","Wed Mar 13 00:44:59 GMT 2024","Wed Mar 13 00:44:59 GMT 2024","243","tests","login_test","TestLogin","","","test_login_error[chromium-locked_user]",""
