"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","165","Test Accessibility with Custom Counts","tests","Tue Jun 17 01:44:58 GMT 2025","passed","Tue Jun 17 01:44:58 GMT 2025","TestAccessibility","accesability_test","",""
"","151","Login with invalid credentials test","tests","Tue Jun 17 01:45:02 GMT 2025","passed","Tue Jun 17 01:45:02 GMT 2025","TestLogin","login_test","",""
"","159","Login with invalid credentials test","tests","Tue Jun 17 01:45:02 GMT 2025","passed","Tue Jun 17 01:45:02 GMT 2025","TestLogin","login_test","",""
"","170","Test Accessibility with Default Counts","tests","Tue Jun 17 01:44:57 GMT 2025","failed","Tue Jun 17 01:44:57 GMT 2025","TestAccessibility","accesability_test","",""
"","65","test_inventory_page[chromium-standard_user]","tests","Tue Jun 17 01:45:01 GMT 2025","passed","Tue Jun 17 01:45:01 GMT 2025","TestInventory","inventory_test","",""
"","207","test_checkout_counter[chromium-standard_user]","tests","Tue Jun 17 01:44:58 GMT 2025","passed","Tue Jun 17 01:44:59 GMT 2025","TestCheckout","checkout_test","",""
