"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","259","Test Accessibility with Custom Counts","tests","Sun Feb 23 01:27:20 GMT 2025","passed","Sun Feb 23 01:27:21 GMT 2025","TestAccessibility","accesability_test","",""
"","185","test_checkout_counter[chromium-standard_user]","tests","Sun Feb 23 01:27:22 GMT 2025","passed","Sun Feb 23 01:27:22 GMT 2025","TestCheckout","checkout_test","",""
"","312","Login with invalid credentials test","tests","Sun Feb 23 01:28:48 GMT 2025","passed","Sun Feb 23 01:28:49 GMT 2025","TestLogin","login_test","",""
"","163","Login with invalid credentials test","tests","Sun Feb 23 01:28:49 GMT 2025","passed","Sun Feb 23 01:28:49 GMT 2025","TestLogin","login_test","",""
"","180","Test Accessibility with Default Counts","tests","Sun Feb 23 01:27:19 GMT 2025","failed","Sun Feb 23 01:27:19 GMT 2025","TestAccessibility","accesability_test","",""
"","53","test_inventory_page[chromium-standard_user]","tests","Sun Feb 23 01:28:48 GMT 2025","passed","Sun Feb 23 01:28:48 GMT 2025","TestInventory","inventory_test","",""
