"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","54","test_inventory_page[chromium-standard_user]","tests","Sat Nov 29 01:39:53 UTC 2025","passed","Sat Nov 29 01:39:53 UTC 2025","TestInventory","inventory_test","",""
"","153","Login with invalid credentials test","tests","Sat Nov 29 01:39:54 UTC 2025","passed","Sat Nov 29 01:39:54 UTC 2025","TestLogin","login_test","",""
"","283","Test Accessibility with Custom Counts","tests","Sat Nov 29 01:39:48 UTC 2025","passed","Sat Nov 29 01:39:48 UTC 2025","TestAccessibility","accesability_test","",""
"","128","Login with invalid credentials test","tests","Sat Nov 29 01:39:54 UTC 2025","passed","Sat Nov 29 01:39:54 UTC 2025","TestLogin","login_test","",""
"","181","test_checkout_counter[chromium-standard_user]","tests","Sat Nov 29 01:39:48 UTC 2025","passed","Sat Nov 29 01:39:49 UTC 2025","TestCheckout","checkout_test","",""
"","257","Test Accessibility with Default Counts","tests","Sat Nov 29 01:39:47 UTC 2025","failed","Sat Nov 29 01:39:47 UTC 2025","TestAccessibility","accesability_test","",""
