"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","191","test_checkout_counter[chromium-standard_user]","tests","Sun Jun 01 02:00:09 GMT 2025","passed","Sun Jun 01 02:00:09 GMT 2025","TestCheckout","checkout_test","",""
"","175","Test Accessibility with Custom Counts","tests","Sun Jun 01 02:00:08 GMT 2025","passed","Sun Jun 01 02:00:08 GMT 2025","TestAccessibility","accesability_test","",""
"","62","test_inventory_page[chromium-standard_user]","tests","Sun Jun 01 02:00:09 GMT 2025","passed","Sun Jun 01 02:00:09 GMT 2025","TestInventory","inventory_test","",""
"","158","Login with invalid credentials test","tests","Sun Jun 01 02:00:10 GMT 2025","passed","Sun Jun 01 02:00:10 GMT 2025","TestLogin","login_test","",""
"","143","Login with invalid credentials test","tests","Sun Jun 01 02:00:10 GMT 2025","passed","Sun Jun 01 02:00:10 GMT 2025","TestLogin","login_test","",""
"","177","Test Accessibility with Default Counts","tests","Sun Jun 01 02:00:08 GMT 2025","failed","Sun Jun 01 02:00:08 GMT 2025","TestAccessibility","accesability_test","",""
